item_id,task_type,dataset_name,source_index,source_id,sample_id,model_name,prompt_variant,perturbation_type,reference_answer,output_text,extracted_answer,performance_score,factual_containment_match,factual_token_f1,is_correct,needs_manual_review,correctness_method,notes
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,1,gpt-4o-mini,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City Council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,2,gpt-4o-mini,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City Council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,3,gpt-4o-mini,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,4,gpt-4o-mini,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City Council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,5,gpt-4o-mini,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City Council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,1,gpt-4o-mini,original,,former captain of the Yale football team,Walter Camp was the captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,token overlap=0.83
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,2,gpt-4o-mini,original,,former captain of the Yale football team,Walter Camp was the captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,token overlap=0.83
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,3,gpt-4o-mini,original,,former captain of the Yale football team,Walter Camp was the captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,token overlap=0.83
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,4,gpt-4o-mini,original,,former captain of the Yale football team,Walter Camp was the captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,token overlap=0.83
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,5,gpt-4o-mini,original,,former captain of the Yale football team,Walter Camp was the captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,token overlap=0.83
