case_id,task,dataset,perturbation,version,sample_idx,question,reference_answer,output,exact_match_correct,llm_correct,judge_reason,judge_model
promptrobust_pdr_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,original,0,In what country is Normandy located?,France | France | France | France,France,1,1,The candidate answer 'France' directly matches the accepted reference answer.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,original,1,In what country is Normandy located?,France | France | France | France,France,1,1,The candidate answer 'France' is the same as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,original,2,In what country is Normandy located?,France | France | France | France,France,1,1,The candidate answer 'France' is the same as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,perturbed,0,In what country is Normandy located?,France | France | France | France,France,1,1,The candidate answer 'France' is the same as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,perturbed,1,In what country is Normandy located?,France | France | France | France,France,1,1,The candidate answer 'France' is the same as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,perturbed,2,In what country is Normandy located?,France | France | France | France,France,1,1,The candidate answer 'France' is the same as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,original,0,When were the Normans in Normandy?,10th and 11th centuries | in the 10th and 11th centuries | 10th and 11th centuries | 10th and 11th centuries,In the 10th and 11th centuries.,0,1,The candidate answer provides the same time period as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,original,1,When were the Normans in Normandy?,10th and 11th centuries | in the 10th and 11th centuries | 10th and 11th centuries | 10th and 11th centuries,In the 10th and 11th centuries.,0,1,The candidate answer provides the same time period as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,original,2,When were the Normans in Normandy?,10th and 11th centuries | in the 10th and 11th centuries | 10th and 11th centuries | 10th and 11th centuries,In the 10th and 11th centuries.,0,1,The candidate answer provides the same time period as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,perturbed,0,When were the Normans in Normandy?,10th and 11th centuries | in the 10th and 11th centuries | 10th and 11th centuries | 10th and 11th centuries,In the 10th and 11th centuries.,0,1,The candidate answer provides the same time period as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,perturbed,1,When were the Normans in Normandy?,10th and 11th centuries | in the 10th and 11th centuries | 10th and 11th centuries | 10th and 11th centuries,10th and 11th centuries,1,1,The candidate answer matches the accepted reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,perturbed,2,When were the Normans in Normandy?,10th and 11th centuries | in the 10th and 11th centuries | 10th and 11th centuries | 10th and 11th centuries,10th and 11th centuries,1,1,The candidate answer matches the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_03,factual_qa,SQuAD V2,context_injection,original,0,From which countries did the Norse originate?,"Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway","Denmark, Iceland, and Norway.",0,1,The candidate answer lists the same countries as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_03,factual_qa,SQuAD V2,context_injection,original,1,From which countries did the Norse originate?,"Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway","Denmark, Iceland, and Norway.",0,1,The candidate answer lists the same countries as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_03,factual_qa,SQuAD V2,context_injection,original,2,From which countries did the Norse originate?,"Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway","Denmark, Iceland, and Norway",1,1,The candidate answer lists the same countries as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_03,factual_qa,SQuAD V2,context_injection,perturbed,0,From which countries did the Norse originate?,"Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway","Denmark, Iceland, and Norway",1,1,The candidate answer lists the same countries as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_03,factual_qa,SQuAD V2,context_injection,perturbed,1,From which countries did the Norse originate?,"Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway","Denmark, Iceland, and Norway.",0,1,The candidate answer lists the same countries as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_03,factual_qa,SQuAD V2,context_injection,perturbed,2,From which countries did the Norse originate?,"Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway | Denmark, Iceland and Norway","Denmark, Iceland, and Norway",1,1,The candidate answer lists the same countries as the reference answers.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_04,factual_qa,SQuAD V2,context_injection,original,0,Who was the Norse leader?,Rollo | Rollo | Rollo | Rollo,Rollo,1,1,The candidate answer 'Rollo' is the same entity as the reference answer.,gpt-4o-mini
promptrobust_pdr_context_injection_squad_04,factual_qa,SQuAD V2,context_injection,original,1,Who was the Norse leader?,Rollo | Rollo | Rollo | Rollo,Rollo,1,1,The candidate answer 'Rollo' matches the reference answer.,gpt-4o-mini
