case_id,task,dataset,perturbation,uncorrected_single_drift,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift
fourtask_surface_noise_squad_01,factual_qa,SQuAD V2,surface_noise,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_surface_noise_squad_02,factual_qa,SQuAD V2,surface_noise,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_surface_noise_squad_03,factual_qa,SQuAD V2,surface_noise,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_surface_noise_squad_04,factual_qa,SQuAD V2,surface_noise,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
fourtask_surface_noise_squad_05,factual_qa,SQuAD V2,surface_noise,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_surface_noise_math_01,math_reasoning,MATH,surface_noise,0.051284209584007034,0.03895329652756533,0.02514350725302683,0.03204840189029608,0.035351028767696704,0.0033026268774006273
fourtask_surface_noise_math_02,math_reasoning,MATH,surface_noise,0.0197233539359718,0.01738154942133881,0.008754183535017149,0.01306786647817798,0.012956264066014418,0.0
fourtask_surface_noise_math_03,math_reasoning,MATH,surface_noise,0.054650984213961085,0.1246641375375438,0.09290288739631151,0.10878351246692766,0.09523545665597083,0.0
fourtask_surface_noise_math_04,math_reasoning,MATH,surface_noise,0.012897143162363012,0.11582102398124357,0.09603136201114189,0.10592619299619273,0.08548579837408837,0.0
fourtask_surface_noise_math_05,math_reasoning,MATH,surface_noise,0.02520641173577487,0.07867871579542111,0.017802395355598355,0.048240555575509735,0.04444836586264218,0.0
fourtask_surface_noise_humaneval_01,code_generation,HumanEval,surface_noise,0.020216412267285322,0.06435650640125552,0.04287126258464776,0.05361388449295164,0.05453641739382274,0.0009225329008711036
fourtask_surface_noise_humaneval_02,code_generation,HumanEval,surface_noise,0.01546550214559883,0.00666923772867493,0.013647132135882534,0.010158184932278732,0.008368935771336005,0.0
fourtask_surface_noise_humaneval_03,code_generation,HumanEval,surface_noise,0.16114536171724436,0.0,0.0,0.0,0.16114536171724436,0.16114536171724436
fourtask_surface_noise_humaneval_04,code_generation,HumanEval,surface_noise,3.734388800413768e-07,2.220446049250313e-16,1.1102230246251565e-16,1.6653345369377348e-16,3.734388800413768e-07,3.7343887987484337e-07
fourtask_surface_noise_humaneval_05,code_generation,HumanEval,surface_noise,0.004557916923867089,0.0,2.7880071362673675e-07,1.3940035681336838e-07,0.004555413025205901,0.004555273624849088
fourtask_surface_noise_alpaca_01,open_ended_writing,Alpaca,surface_noise,0.06039954249095558,0.0674163936730496,0.10770904307684208,0.08756271837494584,0.06930006671927003,0.0
fourtask_surface_noise_alpaca_02,open_ended_writing,Alpaca,surface_noise,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_surface_noise_alpaca_03,open_ended_writing,Alpaca,surface_noise,0.09689067485299918,0.08986824266303266,0.04036024969899491,0.06511424618101379,0.07572400557176434,0.010609759390750553
fourtask_surface_noise_alpaca_04,open_ended_writing,Alpaca,surface_noise,0.06787354986169347,0.02923600312975631,0.0607621983904573,0.044999100760106804,0.059760349648975905,0.014761248888869101
fourtask_surface_noise_alpaca_05,open_ended_writing,Alpaca,surface_noise,0.5985311301684048,0.11764483957169669,0.10482585094866408,0.11123534526018039,0.5939613328135986,0.4827259875534182
