task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,character,SQuAD V2,10,0.045256247549293506,0.009389688432092928,0.054214069346433955,0.04727976968110237
factual_qa,word,SQuAD V2,10,0.08910797584765708,0.037188825732833136,0.0746947313873737,0.037505905654540574
factual_qa,sentence,SQuAD V2,10,0.04510694340008302,0.034604558702867966,0.029985898102747207,2.3714326976564948e-06
factual_qa,semantic,SQuAD V2,10,0.2145367361503957,0.013855331807461678,0.19262119063454247,0.1787658588270808
math_reasoning,character,MATH,10,0.06958037272256347,0.05711200759108612,0.059448764492935825,0.006462061616424953
math_reasoning,word,MATH,10,0.3969269608631536,0.13857643946823422,0.3528192208208928,0.2142427813526586
math_reasoning,sentence,MATH,10,0.046482034866835255,0.05138556804235217,0.051876424706315136,0.004220798821837151
math_reasoning,semantic,MATH,10,0.06362815172649817,0.04473064133975919,0.05169003860147728,0.007675452503513614
code_generation,character,HumanEval,10,0.034328694075633326,0.04216081282575641,0.054058021449901586,0.012409821860158673
code_generation,word,HumanEval,10,0.11585430655472595,0.027788300164852443,0.12107372034690465,0.0950759242011327
code_generation,sentence,HumanEval,10,0.039600800271409706,0.026693543590196107,0.05984231047121635,0.03697713030091212
code_generation,semantic,HumanEval,10,0.12053503518942234,0.0318110133279491,0.12713346844017953,0.09532245511223045
open_ended_writing,character,Alpaca,10,0.15786933968154976,0.13360711372351558,0.15283077058224162,0.03079984855140235
open_ended_writing,word,Alpaca,10,0.1407458823940336,0.10489404345343521,0.1390178051037709,0.0408259719983962
open_ended_writing,sentence,Alpaca,10,0.15471313166132886,0.0844639615727811,0.16362102738997353,0.07932473614985994
open_ended_writing,semantic,Alpaca,10,0.09876710774442665,0.1151021185490101,0.1421717535537547,0.027436549704221467
