task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,paraphrase,SQuAD V2,50,0.10313895412563115,0.03731811973762667,0.09826433952778627,0.06247159582041035
factual_qa,reordering,SQuAD V2,50,0.04179337801068617,0.026227666337348576,0.03996962571542728,0.01754494398982206
factual_qa,formatting,SQuAD V2,50,0.024125237919118237,0.02877554412300628,0.043718965190994205,0.018545594834512343
factual_qa,context_injection,SQuAD V2,50,0.03092871263554904,0.019883800730160283,0.03320730948887075,0.015326300418705356
factual_qa,surface_noise,SQuAD V2,50,0.03705374235464266,0.019278881164058716,0.03813740428688865,0.020225336198387064
math_reasoning,paraphrase,MATH,50,0.04977059440203106,0.05019032340697655,0.051237322589456825,0.004790137785603221
math_reasoning,reordering,MATH,50,0.06674406256700802,0.0574798925861614,0.07524345456381046,0.02004025103652871
math_reasoning,formatting,MATH,50,0.058847838895824234,0.04797790802064678,0.052969260050561795,0.007283851199864769
math_reasoning,context_injection,MATH,50,0.053498700522585055,0.047253905034626724,0.050527018160939526,0.0061001712815086494
math_reasoning,surface_noise,MATH,50,0.0519510478984187,0.05162098219780593,0.05340469275094172,0.004786057835864004
code_generation,paraphrase,HumanEval,50,0.0717753854214016,0.0326521590714763,0.0643765347712435,0.03379945109589957
code_generation,reordering,HumanEval,50,0.04793766626640498,0.030025552510678996,0.0433476050582788,0.01802077068623363
code_generation,formatting,HumanEval,50,0.08698652292725366,0.039307612117832735,0.08315843424516754,0.04507673354331862
code_generation,context_injection,HumanEval,50,0.020961931883192057,0.0323219925833068,0.03549975655021464,0.005673596512348771
code_generation,surface_noise,HumanEval,50,0.05672747904133872,0.036729172246581766,0.049148394211078444,0.01465509053309776
open_ended_writing,paraphrase,Alpaca,50,0.07622217609950588,0.07105485045033927,0.0735387265947484,0.0065945029269911595
open_ended_writing,reordering,Alpaca,50,0.07350001003437401,0.07662262200848768,0.0813448907021954,0.00765046806424019
open_ended_writing,formatting,Alpaca,50,0.09342107740629751,0.06827091561859547,0.08652758281491793,0.021020370984280935
open_ended_writing,context_injection,Alpaca,50,0.09052839366240972,0.06758084687070619,0.08588001116472468,0.019194681083385328
open_ended_writing,surface_noise,Alpaca,50,0.06955684118132258,0.07754556683508738,0.07747762549013491,0.004570473359774732
