task,rank,perturbation,noise_corrected_drift,raw_perturbation_drift
factual_qa,1,semantic,0.1787658588270808,0.19262119063454247
factual_qa,2,character,0.04727976968110237,0.054214069346433955
factual_qa,3,word,0.037505905654540574,0.0746947313873737
factual_qa,4,sentence,2.3714326976564948e-06,0.029985898102747207
math_reasoning,1,word,0.2142427813526586,0.3528192208208928
math_reasoning,2,semantic,0.007675452503513614,0.05169003860147728
math_reasoning,3,character,0.006462061616424953,0.059448764492935825
math_reasoning,4,sentence,0.004220798821837151,0.051876424706315136
code_generation,1,semantic,0.09532245511223045,0.12713346844017953
code_generation,2,word,0.0950759242011327,0.12107372034690465
code_generation,3,sentence,0.03697713030091212,0.05984231047121635
code_generation,4,character,0.012409821860158673,0.054058021449901586
open_ended_writing,1,sentence,0.07932473614985994,0.16362102738997353
open_ended_writing,2,word,0.0408259719983962,0.1390178051037709
open_ended_writing,3,character,0.03079984855140235,0.15283077058224162
open_ended_writing,4,semantic,0.027436549704221467,0.1421717535537547
