case_id,task,dataset,perturbation,uncorrected_single_drift,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift
fourtask_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_squad_04,factual_qa,SQuAD V2,context_injection,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
fourtask_context_injection_squad_06,factual_qa,SQuAD V2,context_injection,0.0,0.04047044263617757,0.0,0.020235221318088786,0.020235221318088786,0.0
fourtask_context_injection_squad_08,factual_qa,SQuAD V2,context_injection,6.229572763194469e-07,0.2771806183273913,0.27726192196910526,0.27722127014824827,0.1848145127537804,0.0
fourtask_context_injection_squad_10,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_squad_12,factual_qa,SQuAD V2,context_injection,4.947429923518598e-07,0.016626945390693686,0.0,0.008313472695346843,0.008316233561124394,2.7608657775513024e-06
fourtask_context_injection_squad_14,factual_qa,SQuAD V2,context_injection,0.0016519751268190275,1.1102230246251565e-16,0.056615747469495714,0.028307873734747913,0.05603447610678677,0.027726602372038854
fourtask_context_injection_squad_16,factual_qa,SQuAD V2,context_injection,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
fourtask_context_injection_squad_18,factual_qa,SQuAD V2,context_injection,5.250813239765506e-07,3.862104804482532e-07,0.0,1.931052402241266e-07,5.766883034071432e-07,3.835830631830166e-07
fourtask_context_injection_squad_20,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_squad_22,factual_qa,SQuAD V2,context_injection,7.67176885907439e-07,0.0,0.0,0.0,7.67176885907439e-07,7.67176885907439e-07
fourtask_context_injection_squad_24,factual_qa,SQuAD V2,context_injection,4.2704292591011495e-07,0.046358563416272015,0.0,0.023179281708136008,0.023175919929331695,0.0
fourtask_context_injection_squad_26,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_squad_28,factual_qa,SQuAD V2,context_injection,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
fourtask_context_injection_squad_30,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_squad_32,factual_qa,SQuAD V2,context_injection,0.23083977451973525,0.15387799367234464,0.0,0.07693899683617232,0.1535735736462643,0.07663457681009199
fourtask_context_injection_squad_34,factual_qa,SQuAD V2,context_injection,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
fourtask_context_injection_squad_36,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
