task,rank,perturbation,noise_corrected_drift,raw_perturbation_drift
factual_qa,1,paraphrase,0.07150486344937364,0.09826433952778627
factual_qa,2,formatting,0.023045786402806946,0.043718965190994205
factual_qa,3,reordering,0.022474323906059402,0.03996962571542728
factual_qa,4,surface_noise,0.020981598817070447,0.03813740428688865
factual_qa,5,context_injection,0.016357639294848996,0.03320730948887075
math_reasoning,1,reordering,0.0282038841828181,0.07524345456381046
math_reasoning,2,formatting,0.010487832323608375,0.052969260050561795
math_reasoning,3,context_injection,0.008820108428516825,0.050527018160939526
math_reasoning,4,paraphrase,0.007925552035866892,0.051237322589456825
math_reasoning,5,surface_noise,0.005873409041662583,0.05340469275094172
code_generation,1,formatting,0.05622235101540923,0.08315843424516754
code_generation,2,paraphrase,0.03818848153696584,0.0643765347712435
code_generation,3,surface_noise,0.0227731884346365,0.049148394211078444
code_generation,4,reordering,0.021177241175029723,0.0433476050582788
code_generation,5,context_injection,0.00832313522769571,0.03549975655021464
open_ended_writing,1,formatting,0.023365157116865307,0.08652758281491793
open_ended_writing,2,context_injection,0.02205191566341462,0.08588001116472468
open_ended_writing,3,reordering,0.016451138374398665,0.0813448907021954
open_ended_writing,4,surface_noise,0.0111105648213817,0.07747762549013491
open_ended_writing,5,paraphrase,0.010911677626784194,0.0735387265947484
