base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift,mean_cross_similarity,mean_paired_similarity,clean_single_correct,perturbed_single_correct,single_pass_rate_drop,abs_single_pass_rate_change,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,repeated_sampling_pdr,harmful_correctness_drop,correctness_changed
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,1,1,0.001668483928061552,0.011408586420998845,0.006538535174530198,0.005931164785218613,0.0,0.9940688352147814,0.9931847188560903,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,0.9523809523809523,0.04761904761904767,0.04761904761904767,0.04761904761904767,1,1
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,2,2,0.001668483928061552,0.0024487103505666705,0.002058597139314111,0.0016400171676872219,0.0,0.9983599828323128,0.9977497205616641,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,3,3,0.001668483928061552,0.0020617420814005305,0.0018651130047310414,0.002567050575527258,0.0007019375707962168,0.9974329494244727,0.9979296563218242,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,4,4,0.001668483928061552,0.002013907915672686,0.001841195921867119,0.002521909224660754,0.0006807133027936351,0.9974780907753392,0.9979119961506766,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,5,5,0.001668483928061552,0.006214669534190254,0.0039415767311259025,0.0045078585579022435,0.000566281826776341,0.9954921414420977,0.995777461025314,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,1,1,0.008240289864616815,0.025286170266008174,0.016763230065312495,0.02934501340838168,0.012581783343069183,0.9706549865916183,0.9668688390721673,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,0.9047619047619048,0.09523809523809523,0.09523809523809523,0.09523809523809523,1,1
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,2,2,0.008240289864616815,0.012835001343609043,0.010537645604112928,0.02716762139763835,0.01662997579352542,0.9728323786023616,0.9739011413453752,1.0,1.0,0.0,0.0,0.0,1.0,0.9047619047619048,0.09523809523809523,0.09523809523809523,0.09523809523809523,1,1
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,3,3,0.008240289864616815,0.018939293154011588,0.013589791509314202,0.025414017643016033,0.011824226133701831,0.974585982356984,0.9737723520130049,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,0.9047619047619048,0.09523809523809523,0.09523809523809523,0.09523809523809523,1,1
