base_case_id,task,n_levels,spearman_strength_to_similarity,spearman_strength_to_corrected_drift,spearman_strength_to_abs_correctness_change,spearman_similarity_to_abs_correctness_change
rq2_dose_humaneval_05,code_generation,5,-0.9,0.7071067811865475,,
rq2_dose_humaneval_10,code_generation,5,-0.7,,,
rq2_dose_humaneval_15,code_generation,5,-0.41039134083406165,0.35355339059327373,,
rq2_dose_humaneval_20,code_generation,5,-0.1,-0.051298917604257706,0.1,-1.0
rq2_dose_humaneval_25,code_generation,5,-0.6668859288553503,,,
rq2_dose_humaneval_30,code_generation,5,-0.3,-0.35355339059327373,,
rq2_dose_humaneval_35,code_generation,5,-0.7071067811865475,0.7071067811865475,0.7071067811865475,-1.0
rq2_dose_humaneval_40,code_generation,5,-0.8,0.7826237921249264,,
rq2_dose_humaneval_45,code_generation,5,-0.4,0.15389675281277312,0.4743416490252569,-0.9486832980505138
rq2_dose_humaneval_50,code_generation,5,-0.3,-0.11180339887498948,,
rq2_dose_longfact_05,long_factual_qa,5,-0.3,0.7,0.0,-0.9486832980505138
rq2_dose_longfact_10,long_factual_qa,5,-0.2,-0.35355339059327373,0.6668859288553503,-0.4616902584383194
rq2_dose_longfact_15,long_factual_qa,5,-0.6,0.5642880936468347,0.6668859288553503,-0.872081599272381
rq2_dose_longfact_20,long_factual_qa,5,-0.7,0.5,0.20519567041703082,-0.35909242322980395
rq2_dose_longfact_25,long_factual_qa,5,-0.9,0.2,0.4472135954999579,-0.4472135954999579
rq2_dose_longfact_30,long_factual_qa,5,-0.7,0.9,0.8207826816681233,-0.9746794344808964
rq2_dose_longfact_35,long_factual_qa,5,-1.0,0.6668859288553503,0.7905694150420948,-0.7905694150420948
rq2_dose_longfact_40,long_factual_qa,5,-0.6,0.7,0.7378647873726218,-0.7378647873726218
rq2_dose_longfact_45,long_factual_qa,5,-0.8,0.35355339059327373,0.15389675281277312,-0.10259783520851541
rq2_dose_longfact_50,long_factual_qa,5,-0.3,0.4472135954999579,0.8207826816681233,-0.5642880936468347
rq2_dose_math_05,math_reasoning,5,-0.9,0.0,0.9486832980505138,-0.9486832980505138
rq2_dose_math_10,math_reasoning,5,-0.3,0.35355339059327373,,
rq2_dose_math_15,math_reasoning,5,-0.7,0.0,0.8660254037844386,-0.28867513459481287
rq2_dose_math_20,math_reasoning,5,-0.1,0.0,0.7905694150420948,0.15811388300841897
rq2_dose_math_25,math_reasoning,5,-0.7,0.35355339059327373,0.0,0.28867513459481287
rq2_dose_math_30,math_reasoning,5,-0.9,,,
rq2_dose_math_35,math_reasoning,5,-0.8,0.4,,
rq2_dose_math_40,math_reasoning,5,-0.1,0.35355339059327373,0.5270462766947299,-0.7378647873726218
rq2_dose_math_45,math_reasoning,5,-0.1,0.33541019662496846,,
rq2_dose_math_50,math_reasoning,5,-1.0,0.35355339059327373,0.7071067811865475,-0.7071067811865475
rq2_dose_squad_05,factual_qa,5,,,,
rq2_dose_squad_10,factual_qa,5,-0.4472135954999579,0.0,,
rq2_dose_squad_15,factual_qa,5,-0.7,0.6668859288553503,,
rq2_dose_squad_20,factual_qa,5,-0.33541019662496846,0.35355339059327373,,
rq2_dose_squad_25,factual_qa,5,-0.3,-0.22360679774997896,0.22360679774997896,-0.8944271909999159
rq2_dose_squad_30,factual_qa,5,-0.7071067811865475,0.7071067811865475,,
rq2_dose_squad_35,factual_qa,5,-0.22360679774997896,,,
rq2_dose_squad_40,factual_qa,5,0.22360679774997896,-0.22360679774997896,,
rq2_dose_squad_45,factual_qa,5,0.0,0.4472135954999579,,
rq2_dose_squad_50,factual_qa,5,-0.9,0.872081599272381,,
