scope,n,x,y,pearson,spearman
all_levels,75,strength_edits,mean_cross_similarity,-0.3482685217413918,-0.5224908040741715
all_levels,75,strength_edits,noise_corrected_drift,0.2837550984547196,0.29462528462203924
all_levels,75,strength_edits,abs_repeated_pass_rate_change,0.26348259320698386,0.3062045487944328
all_levels,75,mean_cross_similarity,abs_repeated_pass_rate_change,-0.27699983437244874,-0.39259182965591133
all_levels,75,mean_paired_similarity,abs_repeated_pass_rate_change,-0.3289247150246243,-0.41160559081767806
all_levels,75,noise_corrected_drift,abs_repeated_pass_rate_change,0.1993576972038781,0.026778481100221883
all_levels,75,mean_cross_similarity,harmful_correctness_drop,-0.07912648469659565,-0.19705354912751105
all_levels,75,noise_corrected_drift,harmful_correctness_drop,-0.04033852777354033,-0.004317347426468704
nonzero_levels,60,strength_edits,mean_cross_similarity,-0.15496841178301224,-0.13693673317213248
nonzero_levels,60,strength_edits,noise_corrected_drift,0.23417308095068573,0.13236252838252685
nonzero_levels,60,strength_edits,abs_repeated_pass_rate_change,0.16239341850258818,0.16040506057347126
nonzero_levels,60,mean_cross_similarity,abs_repeated_pass_rate_change,-0.1954284784915125,-0.28294856097458077
nonzero_levels,60,mean_paired_similarity,abs_repeated_pass_rate_change,-0.2587703518187533,-0.3107615095472646
nonzero_levels,60,noise_corrected_drift,abs_repeated_pass_rate_change,0.1659852532458581,-0.036293716977958114
nonzero_levels,60,mean_cross_similarity,harmful_correctness_drop,0.0175787492302748,-0.06258801842555507
nonzero_levels,60,noise_corrected_drift,harmful_correctness_drop,-0.0795305526814139,-0.07026457822537158
task:code_generation,25,strength_edits,mean_cross_similarity,-0.44409720369065575,-0.6399671618174877
task:code_generation,25,strength_edits,noise_corrected_drift,0.43050785946446546,0.3131523042732431
task:code_generation,25,strength_edits,abs_repeated_pass_rate_change,0.23094010767585035,0.17232808737106584
task:code_generation,25,mean_cross_similarity,abs_repeated_pass_rate_change,-0.6597881258680396,-0.5526335004526534
task:code_generation,25,mean_paired_similarity,abs_repeated_pass_rate_change,-0.636325753827111,-0.5502096693103171
task:code_generation,25,noise_corrected_drift,abs_repeated_pass_rate_change,0.33555129172593096,-0.03987556969304189
task:code_generation,25,mean_cross_similarity,harmful_correctness_drop,-0.11096383259499823,-0.19895357631037933
task:code_generation,25,noise_corrected_drift,harmful_correctness_drop,-0.09980246203567028,-0.1714469171434994
task_nonzero:code_generation,20,strength_edits,mean_cross_similarity,-0.2637219910557913,-0.29094692448420406
task_nonzero:code_generation,20,strength_edits,noise_corrected_drift,0.3659804167272133,0.06100888760865631
task_nonzero:code_generation,20,strength_edits,abs_repeated_pass_rate_change,0.14782608695652177,0.03338489304447943
task_nonzero:code_generation,20,mean_cross_similarity,abs_repeated_pass_rate_change,-0.6516085125303459,-0.5741599333710562
task_nonzero:code_generation,20,mean_paired_similarity,abs_repeated_pass_rate_change,-0.618112637529789,-0.5698429413908227
task_nonzero:code_generation,20,noise_corrected_drift,abs_repeated_pass_rate_change,0.30092439659691395,-0.10749646823326525
task_nonzero:code_generation,20,mean_cross_similarity,harmful_correctness_drop,-0.07218718948471085,-0.1791031476759285
task_nonzero:code_generation,20,noise_corrected_drift,harmful_correctness_drop,-0.12933213793655135,-0.22951059256135115
task:factual_qa,25,strength_edits,mean_cross_similarity,-0.10978692897163415,-0.410132391597531
task:factual_qa,25,strength_edits,noise_corrected_drift,0.07745519757311982,0.30833333333333335
task:factual_qa,25,strength_edits,abs_repeated_pass_rate_change,0.3889087296526011,0.4242640687119285
task:factual_qa,25,mean_cross_similarity,abs_repeated_pass_rate_change,-0.6376451884197208,-0.6090155300940286
task:factual_qa,25,mean_paired_similarity,abs_repeated_pass_rate_change,-0.548918470326117,-0.6380162696223157
task:factual_qa,25,noise_corrected_drift,abs_repeated_pass_rate_change,-0.10359816825956766,-0.1473139127471974
task:factual_qa,25,mean_cross_similarity,harmful_correctness_drop,-0.3635795582270948,-0.4746360146359766
task:factual_qa,25,noise_corrected_drift,harmful_correctness_drop,-0.09042789483966482,-0.1285861249684099
task_nonzero:factual_qa,20,strength_edits,mean_cross_similarity,0.044435916562138085,-0.0589938846175922
task_nonzero:factual_qa,20,strength_edits,noise_corrected_drift,0.02669969753989316,0.2902859417502669
task_nonzero:factual_qa,20,strength_edits,abs_repeated_pass_rate_change,0.31226150319373597,0.36147844564602555
task_nonzero:factual_qa,20,mean_cross_similarity,abs_repeated_pass_rate_change,-0.6110878246090986,-0.5991314500652877
task_nonzero:factual_qa,20,mean_paired_similarity,abs_repeated_pass_rate_change,-0.5216509783872864,-0.6397505314256462
task_nonzero:factual_qa,20,noise_corrected_drift,abs_repeated_pass_rate_change,-0.1344682021273867,-0.1921833535105846
task_nonzero:factual_qa,20,mean_cross_similarity,harmful_correctness_drop,-0.32349885673244566,-0.43971445420571786
task_nonzero:factual_qa,20,noise_corrected_drift,harmful_correctness_drop,-0.11645287904353761,-0.16643566632465154
task:math_reasoning,25,strength_edits,mean_cross_similarity,-0.5131599142440584,-0.6496868655404802
task:math_reasoning,25,strength_edits,noise_corrected_drift,0.39996737164447793,0.4011326697758436
task:math_reasoning,25,strength_edits,abs_repeated_pass_rate_change,0.28643577734887543,0.33609329598624865
task:math_reasoning,25,mean_cross_similarity,abs_repeated_pass_rate_change,0.10134019438882655,0.0850735324669382
task:math_reasoning,25,mean_paired_similarity,abs_repeated_pass_rate_change,-0.004804866532089469,0.10577925994566391
