base_case_id,task,n_levels,spearman_strength_to_similarity,spearman_strength_to_corrected_drift,spearman_strength_to_abs_correctness_change,spearman_similarity_to_abs_correctness_change
rq2_dose_humaneval_02,code_generation,5,-1.0,0.8944271909999159,,
rq2_dose_humaneval_07,code_generation,5,-0.4,-0.11180339887498948,-0.35355339059327373,-0.7071067811865475
rq2_dose_humaneval_12,code_generation,5,-0.7905694150420948,0.35355339059327373,,
rq2_dose_humaneval_17,code_generation,5,-0.9746794344808964,0.8660254037844386,0.7071067811865475,-0.7254762501100117
rq2_dose_humaneval_22,code_generation,5,-0.8,0.20519567041703082,,
rq2_dose_humaneval_27,code_generation,5,-0.1,0.7071067811865475,,
rq2_dose_humaneval_32,code_generation,5,-0.8,0.7181848464596079,,
rq2_dose_humaneval_37,code_generation,5,-0.872081599272381,0.7905694150420948,,
rq2_dose_humaneval_42,code_generation,5,-0.1,0.11180339887498948,,
rq2_dose_humaneval_47,code_generation,5,-0.3,,,
rq2_dose_longfact_02,long_factual_qa,5,-0.9,0.7071067811865475,0.7071067811865475,-0.7071067811865475
rq2_dose_longfact_07,long_factual_qa,5,-0.9,0.4472135954999579,-0.33541019662496846,0.22360679774997896
rq2_dose_longfact_12,long_factual_qa,5,-1.0,0.8944271909999159,0.7071067811865475,-0.7071067811865475
rq2_dose_longfact_17,long_factual_qa,5,-0.1,-0.22360679774997896,0.22360679774997896,-0.8944271909999159
rq2_dose_longfact_22,long_factual_qa,5,-0.1,0.9,0.7826237921249264,0.33541019662496846
rq2_dose_longfact_27,long_factual_qa,5,-0.7,0.5,0.35909242322980395,-0.20519567041703082
rq2_dose_longfact_32,long_factual_qa,5,-0.6,0.7,0.5642880936468347,-0.872081599272381
rq2_dose_longfact_37,long_factual_qa,5,-0.9,0.872081599272381,0.0,-0.15811388300841897
rq2_dose_longfact_42,long_factual_qa,5,-1.0,0.9,1.0,-1.0
rq2_dose_longfact_47,long_factual_qa,5,-0.7,0.1,0.4616902584383194,-0.8207826816681233
rq2_dose_math_02,math_reasoning,5,-0.9,0.872081599272381,0.6324555320336759,-0.7905694150420948
rq2_dose_math_07,math_reasoning,5,-0.1,0.7071067811865475,,
rq2_dose_math_12,math_reasoning,5,-0.5,0.8944271909999159,0.7071067811865475,-0.7071067811865475
rq2_dose_math_17,math_reasoning,5,-0.3,0.4616902584383194,,
rq2_dose_math_22,math_reasoning,5,-0.4,0.7826237921249264,,
rq2_dose_math_27,math_reasoning,5,-0.3,0.6708203932499369,,
rq2_dose_math_32,math_reasoning,5,-0.9,,0.33541019662496846,-0.22360679774997896
rq2_dose_math_37,math_reasoning,5,-0.7,,,
rq2_dose_math_42,math_reasoning,5,-0.2,-0.33541019662496846,0.26352313834736496,-0.15811388300841897
rq2_dose_math_47,math_reasoning,5,-0.1,0.4,-0.11180339887498948,-0.4472135954999579
rq2_dose_squad_02,factual_qa,5,-0.9746794344808964,0.9486832980505138,,
rq2_dose_squad_07,factual_qa,5,0.35355339059327373,-0.35355339059327373,,
rq2_dose_squad_12,factual_qa,5,-0.7,0.7,,
rq2_dose_squad_17,factual_qa,5,-0.9,0.872081599272381,,
rq2_dose_squad_22,factual_qa,5,-0.6708203932499369,0.7071067811865475,,
rq2_dose_squad_27,factual_qa,5,-0.35909242322980395,,,
rq2_dose_squad_32,factual_qa,5,-0.6668859288553503,0.7071067811865475,,
rq2_dose_squad_37,factual_qa,5,0.35355339059327373,-0.35355339059327373,,
rq2_dose_squad_42,factual_qa,5,-0.7071067811865475,0.7071067811865475,,
rq2_dose_squad_47,factual_qa,5,-0.8944271909999159,0.7071067811865475,,
