task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,character,SQuAD V2,2,0.0,0.0,0.0,0.0
factual_qa,word,SQuAD V2,2,0.0,0.04202006655064793,0.08404013310129584,0.042020066550647904
factual_qa,sentence,SQuAD V2,2,0.0,0.0,0.0,0.0
factual_qa,semantic,SQuAD V2,2,0.28972518334504055,0.002494852589026625,0.29139196481578866,0.288897112226762
math_reasoning,character,MATH,2,0.02408614999687686,0.026231794516265765,0.030075006365398164,0.0038432118491324007
math_reasoning,word,MATH,2,0.30329401312698745,0.023588924984125074,0.294572384939982,0.2711232333434521
math_reasoning,sentence,MATH,2,0.023697957299223416,0.031680938413804885,0.030840577907393966,0.0
math_reasoning,semantic,MATH,2,0.06826443228402296,0.03841819954712482,0.05232009014391102,0.013901890596786207
code_generation,character,HumanEval,2,0.04101958400522182,0.0177839599958649,0.016806826478088004,0.0
code_generation,word,HumanEval,2,0.128143444214383,0.019604113515377303,0.12473632883294707,0.10513221531756976
code_generation,sentence,HumanEval,2,0.09792388867300367,0.03837487996320309,0.06911164808216241,0.03163006142782384
code_generation,semantic,HumanEval,2,0.13557284466717534,0.0028569924657396535,0.13853867628437275,0.1356816838186331
open_ended_writing,character,Alpaca,2,0.014856796805869599,0.0372153541453694,0.03129824481200419,2.4905469886427056e-07
open_ended_writing,word,Alpaca,2,0.01579309227097503,0.025495516655590533,0.029603023885470956,0.0041075072298804235
open_ended_writing,sentence,Alpaca,2,0.0994071297635748,0.04774124554037668,0.08967599492021083,0.04193474937983415
open_ended_writing,semantic,Alpaca,2,0.037593106344424254,0.023360276565010163,0.03730434062572801,0.013944064060717846
