base_case_id,task,n_levels,spearman_strength_to_similarity,spearman_strength_to_corrected_drift,spearman_strength_to_abs_correctness_change,spearman_similarity_to_abs_correctness_change
rq2_dose_humaneval_04,code_generation,5,-0.6,0.7181848464596079,0.6708203932499369,-0.22360679774997896
rq2_dose_humaneval_09,code_generation,5,-0.3,0.11180339887498948,0.35909242322980395,-0.8207826816681233
rq2_dose_humaneval_14,code_generation,5,-1.0,1.0,0.9746794344808964,-0.9746794344808964
rq2_dose_humaneval_19,code_generation,5,-0.1,0.7826237921249264,,
rq2_dose_humaneval_24,code_generation,5,-0.9746794344808964,0.7071067811865475,0.8660254037844386,-0.8885233166386385
rq2_dose_humaneval_29,code_generation,5,-0.8944271909999159,0.7071067811865475,,
rq2_dose_humaneval_34,code_generation,5,0.0,,,
rq2_dose_humaneval_39,code_generation,5,-0.9,0.0,0.7071067811865475,-0.7071067811865475
rq2_dose_humaneval_44,code_generation,5,-0.6668859288553503,0.0,,
rq2_dose_humaneval_49,code_generation,5,-0.8944271909999159,0.8944271909999159,0.8944271909999159,-1.0
rq2_dose_longfact_04,long_factual_qa,5,-0.9,0.6668859288553503,0.7071067811865475,-0.7071067811865475
rq2_dose_longfact_09,long_factual_qa,5,0.0,0.7181848464596079,,
rq2_dose_longfact_14,long_factual_qa,5,-0.7,0.4472135954999579,0.0,0.28867513459481287
rq2_dose_longfact_19,long_factual_qa,5,-0.9,0.6708203932499369,,
rq2_dose_longfact_24,long_factual_qa,5,-0.8,0.7826237921249264,0.0,-0.5773502691896257
rq2_dose_longfact_29,long_factual_qa,5,-0.5,0.5,0.8207826816681233,-0.6668859288553503
rq2_dose_longfact_34,long_factual_qa,5,-0.1,0.2,0.1,-0.8
rq2_dose_longfact_39,long_factual_qa,5,-0.1,0.3,0.0,-0.7905694150420948
rq2_dose_longfact_44,long_factual_qa,5,-1.0,0.9,0.7378647873726218,-0.7378647873726218
rq2_dose_longfact_49,long_factual_qa,5,-0.5,0.4472135954999579,0.051298917604257706,-0.872081599272381
rq2_dose_math_04,math_reasoning,5,-0.9,0.8,0.22360679774997896,-0.4472135954999579
rq2_dose_math_09,math_reasoning,5,-0.6,0.4472135954999579,0.7905694150420948,-0.05270462766947299
rq2_dose_math_14,math_reasoning,5,-0.8,0.7826237921249264,0.8207826816681233,-0.8207826816681233
rq2_dose_math_19,math_reasoning,5,-0.9,0.7826237921249264,0.0,0.0
rq2_dose_math_24,math_reasoning,5,-0.5,0.33541019662496846,0.0,-0.26352313834736496
rq2_dose_math_29,math_reasoning,5,-0.5,0.4472135954999579,-0.28867513459481287,-0.5773502691896257
rq2_dose_math_34,math_reasoning,5,-0.3,0.7071067811865475,0.0,0.0
rq2_dose_math_39,math_reasoning,5,-0.7,0.7,,
rq2_dose_math_44,math_reasoning,5,-0.9,0.4,,
rq2_dose_math_49,math_reasoning,5,-0.3,0.35355339059327373,,
rq2_dose_squad_04,factual_qa,5,-0.7071067811865475,,,
rq2_dose_squad_09,factual_qa,5,-0.7,0.9746794344808964,,
rq2_dose_squad_14,factual_qa,5,-0.6155870112510925,0.0,,
rq2_dose_squad_19,factual_qa,5,-0.7071067811865475,0.7071067811865475,,
rq2_dose_squad_24,factual_qa,5,-0.7,0.6668859288553503,,
rq2_dose_squad_29,factual_qa,5,0.0,,,
rq2_dose_squad_34,factual_qa,5,-0.22360679774997896,,,
rq2_dose_squad_39,factual_qa,5,-0.9486832980505138,0.8660254037844386,,
rq2_dose_squad_44,factual_qa,5,,,,
rq2_dose_squad_49,factual_qa,5,,,,
