base_case_id,task,n_levels,spearman_strength_to_similarity,spearman_strength_to_corrected_drift,spearman_strength_to_abs_correctness_change,spearman_similarity_to_abs_correctness_change
rq2_dose_humaneval_01,code_generation,5,-0.9,0.35355339059327373,,
rq2_dose_humaneval_02,code_generation,5,-0.8,0.9,,
rq2_dose_humaneval_03,code_generation,5,-0.6668859288553503,0.0,0.0,-0.7254762501100117
rq2_dose_humaneval_04,code_generation,5,-0.2,0.4472135954999579,-0.22360679774997896,-0.8944271909999159
rq2_dose_humaneval_05,code_generation,5,-0.3,0.15389675281277312,,
rq2_dose_humaneval_06,code_generation,5,-0.15389675281277312,0.051298917604257706,,
rq2_dose_humaneval_07,code_generation,5,-0.3,0.15389675281277312,,
rq2_dose_humaneval_08,code_generation,5,-0.7071067811865475,,,
rq2_dose_humaneval_09,code_generation,5,-0.1,-0.20519567041703082,0.15389675281277312,-0.872081599272381
rq2_dose_humaneval_10,code_generation,5,-0.3,0.0,,
rq2_dose_humaneval_11,code_generation,5,-0.7,0.6668859288553503,-0.15811388300841897,-0.26352313834736496
rq2_dose_humaneval_12,code_generation,5,-0.6155870112510925,0.8944271909999159,,
rq2_dose_humaneval_13,code_generation,5,-0.9,0.11180339887498948,0.7826237921249264,-0.8944271909999159
rq2_dose_humaneval_14,code_generation,5,-0.9,0.8944271909999159,0.8660254037844386,-0.8660254037844386
rq2_dose_humaneval_15,code_generation,5,0.0,0.0,,
rq2_dose_humaneval_16,code_generation,5,-0.7826237921249264,0.7826237921249264,,
rq2_dose_humaneval_17,code_generation,5,-0.9,0.7826237921249264,,
rq2_dose_humaneval_18,code_generation,5,-0.4,0.7,,
rq2_dose_humaneval_19,code_generation,5,-0.7,0.7071067811865475,,
rq2_dose_humaneval_20,code_generation,5,-0.5,0.051298917604257706,0.35909242322980395,-0.9746794344808964
rq2_dose_humaneval_21,code_generation,5,-0.9,-0.11180339887498948,0.0,0.0
rq2_dose_humaneval_22,code_generation,5,-0.3,0.35355339059327373,,
rq2_dose_humaneval_23,code_generation,5,0.35355339059327373,,,
rq2_dose_humaneval_24,code_generation,5,-0.8944271909999159,0.7071067811865475,0.7071067811865475,-0.7905694150420948
rq2_dose_humaneval_25,code_generation,5,-0.7,0.6668859288553503,,
rq2_dose_longfact_01,long_factual_qa,5,-0.9,0.6668859288553503,0.35355339059327373,-0.7071067811865475
rq2_dose_longfact_02,long_factual_qa,5,-0.7,-0.35355339059327373,,
rq2_dose_longfact_03,long_factual_qa,5,-0.7,0.4616902584383194,,
rq2_dose_longfact_04,long_factual_qa,5,-0.9,0.872081599272381,0.35355339059327373,-0.7071067811865475
rq2_dose_longfact_05,long_factual_qa,5,-0.9,0.872081599272381,0.6708203932499369,-0.8944271909999159
rq2_dose_longfact_06,long_factual_qa,5,-0.1,0.0,0.7071067811865475,-0.7071067811865475
rq2_dose_longfact_07,long_factual_qa,5,-1.0,0.7,0.9746794344808964,-0.9746794344808964
rq2_dose_longfact_08,long_factual_qa,5,-1.0,0.8944271909999159,0.0,0.0
rq2_dose_longfact_09,long_factual_qa,5,-0.3,0.35355339059327373,0.35355339059327373,-0.35355339059327373
rq2_dose_longfact_10,long_factual_qa,5,-0.7,0.5642880936468347,0.4616902584383194,0.10259783520851541
rq2_dose_longfact_11,long_factual_qa,5,-0.1,0.20519567041703082,0.8660254037844386,0.0
rq2_dose_longfact_12,long_factual_qa,5,-0.9,0.11180339887498948,0.22360679774997896,-0.22360679774997896
rq2_dose_longfact_13,long_factual_qa,5,-0.7,0.5642880936468347,0.0,-0.6324555320336759
rq2_dose_longfact_14,long_factual_qa,5,-0.3,-0.11180339887498948,0.8944271909999159,-0.11180339887498948
rq2_dose_longfact_15,long_factual_qa,5,-0.3,0.4472135954999579,0.31622776601683794,-0.7905694150420948
rq2_dose_longfact_16,long_factual_qa,5,-0.3,0.6155870112510925,0.22360679774997896,-0.4472135954999579
rq2_dose_longfact_17,long_factual_qa,5,-0.6,0.7826237921249264,0.5773502691896257,-0.5773502691896257
rq2_dose_longfact_18,long_factual_qa,5,-0.7,,0.8207826816681233,-0.872081599272381
rq2_dose_longfact_19,long_factual_qa,5,-0.5,0.6155870112510925,,
rq2_dose_longfact_20,long_factual_qa,5,-0.5,0.6668859288553503,0.5773502691896257,0.0
rq2_dose_longfact_21,long_factual_qa,5,-1.0,0.9,0.5270462766947299,-0.5270462766947299
rq2_dose_longfact_22,long_factual_qa,5,-0.9,0.41039134083406165,0.20519567041703082,-0.5642880936468347
rq2_dose_longfact_23,long_factual_qa,5,-0.7,0.4472135954999579,0.5270462766947299,-0.9486832980505138
rq2_dose_longfact_24,long_factual_qa,5,-0.3,0.0,,
rq2_dose_longfact_25,long_factual_qa,5,-0.9,0.7826237921249264,0.35355339059327373,-0.7071067811865475
rq2_dose_math_01,math_reasoning,5,-0.3,-0.10259783520851541,-0.22360679774997896,-0.11180339887498948
rq2_dose_math_02,math_reasoning,5,-0.4,0.8207826816681233,,
rq2_dose_math_03,math_reasoning,5,-0.9,,,
rq2_dose_math_04,math_reasoning,5,-0.3,-0.33541019662496846,0.28867513459481287,-0.8660254037844386
rq2_dose_math_05,math_reasoning,5,-1.0,0.8944271909999159,0.9486832980505138,-0.9486832980505138
rq2_dose_math_06,math_reasoning,5,-0.5,0.872081599272381,0.8207826816681233,-0.10259783520851541
rq2_dose_math_07,math_reasoning,5,-0.3,0.35355339059327373,,
rq2_dose_math_08,math_reasoning,5,-0.9,0.0,0.6668859288553503,-0.8207826816681233
rq2_dose_math_09,math_reasoning,5,-0.3,0.22360679774997896,0.8660254037844386,-0.5773502691896257
rq2_dose_math_10,math_reasoning,5,-0.9,,,
rq2_dose_math_11,math_reasoning,5,-0.9,0.7071067811865475,,
