task,rank,perturbation,noise_corrected_drift,raw_perturbation_drift
factual_qa,1,semantic,0.10417082954906844,0.1276384052380844
factual_qa,2,word,0.0504241526921733,0.059405609833112626
factual_qa,3,sentence,0.0003133977366474805,0.0003133977366475138
factual_qa,4,character,0.0,0.016808026620259212
math_reasoning,1,word,0.1934400753723191,0.31737914670470985
math_reasoning,2,sentence,0.02264504767219755,0.05941636128309205
math_reasoning,3,semantic,0.018770775027591426,0.06542270170199355
math_reasoning,4,character,0.0029421532407743374,0.05574839233383669
code_generation,1,semantic,0.10972565449382941,0.12179673424532714
code_generation,2,word,0.09759958570175667,0.11430589660105307
code_generation,3,character,0.03399549082752399,0.04083644002616139
code_generation,4,sentence,4.7101196087277405e-05,0.015734042534089904
open_ended_writing,1,character,0.1012751205139791,0.1802984134716236
open_ended_writing,2,sentence,0.08037247349846807,0.185746002937002
open_ended_writing,3,word,0.07856516554829363,0.14776096401014702
open_ended_writing,4,semantic,0.04334939996157818,0.1393025087980219
