task,rank,perturbation,noise_corrected_drift,raw_perturbation_drift
factual_qa,1,paraphrase,0.03379345518350175,0.053921411915231136
factual_qa,2,reordering,4.656435129546388e-06,4.677984750863414e-06
factual_qa,3,context_injection,4.6535702383110335e-06,4.653570238355443e-06
factual_qa,4,formatting,0.0,4.4408920985006264e-17
factual_qa,5,surface_noise,0.0,4.4408920985006264e-17
math_reasoning,1,paraphrase,0.012140428008230422,0.05769335603659269
math_reasoning,2,reordering,0.0031642713332373485,0.04565822381197073
math_reasoning,3,context_injection,0.001811423293423542,0.051221932847120406
math_reasoning,4,formatting,0.0010808538684084726,0.05281059097567954
math_reasoning,5,surface_noise,0.0006605253754801254,0.0546953827452825
code_generation,1,reordering,0.04650916661843395,0.06376098237502609
code_generation,2,formatting,0.03824051899962406,0.056520747913710194
code_generation,3,paraphrase,0.03692671559456871,0.044487899479414415
code_generation,4,surface_noise,0.033324708336368886,0.04572130026929781
code_generation,5,context_injection,0.005093556399348125,0.029866655039876042
open_ended_writing,1,surface_noise,0.10161939916660757,0.15974915095072179
open_ended_writing,2,formatting,0.054281211961632166,0.15230902694176654
open_ended_writing,3,context_injection,0.016126780651234275,0.08571560369483854
open_ended_writing,4,paraphrase,0.006605397102629293,0.08894393061972436
open_ended_writing,5,reordering,0.006571399095061356,0.09158946209369855
