scope,n,x,y,pearson,spearman
all_levels,90,strength_edits,mean_cross_similarity,-0.1184419188011119,-0.36529454409831746
all_levels,90,strength_edits,noise_corrected_drift,0.01168915674801292,0.3580879933434558
all_levels,90,strength_edits,abs_repeated_pass_rate_change,0.12549288818933696,0.19458191653275655
all_levels,90,mean_cross_similarity,abs_repeated_pass_rate_change,-0.3211717619194333,-0.4265024384608888
all_levels,90,mean_paired_similarity,abs_repeated_pass_rate_change,-0.3065849706874403,-0.44701028068014237
all_levels,90,noise_corrected_drift,abs_repeated_pass_rate_change,0.25198043830731526,0.2956248780994292
all_levels,90,mean_cross_similarity,harmful_correctness_drop,-0.28741828600576397,-0.16084372672950828
all_levels,90,noise_corrected_drift,harmful_correctness_drop,0.30872793534385934,0.22633127335170988
nonzero_levels,75,strength_edits,mean_cross_similarity,0.12043718095658915,0.08514821284141705
nonzero_levels,75,strength_edits,noise_corrected_drift,-0.10997579982395969,0.11929496030462874
nonzero_levels,75,strength_edits,abs_repeated_pass_rate_change,-0.056889313172702696,-0.0350330825604903
nonzero_levels,75,mean_cross_similarity,abs_repeated_pass_rate_change,-0.2627573203583317,-0.2991567721276421
nonzero_levels,75,mean_paired_similarity,abs_repeated_pass_rate_change,-0.2483592150173729,-0.3253606259577046
nonzero_levels,75,noise_corrected_drift,abs_repeated_pass_rate_change,0.22505599313290067,0.18018174324386127
nonzero_levels,75,mean_cross_similarity,harmful_correctness_drop,-0.2563605848572721,-0.08529514814722287
nonzero_levels,75,noise_corrected_drift,harmful_correctness_drop,0.29361870033372783,0.18807475070633473
task:code_generation,30,strength_edits,mean_cross_similarity,0.024071157315752108,-0.2572909103301953
task:code_generation,30,strength_edits,noise_corrected_drift,-0.07919851490337161,0.2782188676573981
task:code_generation,30,strength_edits,abs_repeated_pass_rate_change,-0.07927192783137708,0.012187744420455962
task:code_generation,30,mean_cross_similarity,abs_repeated_pass_rate_change,-0.7884403390876014,-0.44066910939324605
